agency,arrest_pct,arrest_total,arrest_total_car_thefts
22nd Jud Dist Multijurisdictional Drug Task Force,0,0,0
7th Judicial District Drug Task Force,0,0,0
Adams County Sheriff's Office,17.78911565,"1,046","5,880"
Adams State University Police Department,25,2,8
Aims Community College Police Department,100,1,1
Alamosa County Sheriff's Office,12.5,2,16
Alamosa Police Department,26.47058824,45,170
All Crimes Enforcement Team,0,0,0
Alma Police Department,0,0,0
Arapahoe Community College Campus Police Department,33.33333333,1,3
Arapahoe County Sheriff's Office,2.370003537,67,"2,827"
Archuleta County Sheriff's Office,17.94871795,7,39
Arvada Police Department,3.194103194,104,"3,256"
Aspen Police Department,22.5,9,40
Ault Police Department,100,1,1
Auraria Campus Police Department,12.96296296,7,54
Aurora Police Department,4.047242538,819,"20,236"
Avon Police Department,16.66666667,8,48
Baca County Sheriff's Office,75,3,4
Basalt Police Department,20,1,5
Bayfield Marshal's Office,25,5,20
Bent County Sheriff's Office,10,6,60
Berthoud Police Department - Retired,0,0,0
Black Hawk Police Department,28.40909091,25,88
Blue River Police Department,0,0,0
Boulder County Sheriff's Office,14.69072165,57,388
Boulder Police Department,8.333333333,124,"1,488"
Bow Mar Police Department,14.28571429,1,7
Breckenridge Police Department,23.80952381,10,42
Brighton Police Department,7.86163522,100,"1,272"
Broomfield Police Department,8.610709117,119,"1,382"
Brush Police Department,37.03703704,10,27
Buena Vista Police Department,33.33333333,5,15
Burlington Police Department,38.23529412,13,34
Calhan Police Department,25,1,4
Campo Police Department,0,0,0
Canon City Police Department,18.84984026,59,313
Carbondale Police Department,38.88888889,7,18
Castle Rock Police Department,12.25,49,400
Cedaredge Police Department,50,1,2
Centennial Police Department,2.23660977,38,"1,699"
Center Police Department,29.41176471,5,17
Central City Police Department,0,0,0
Chaffee County Sheriff's Office,29.03225806,18,62
Cherry Hills Village Police Department,0,0,46
Cheyenne County Sheriff's Office,75,3,4
Clear Creek County Sheriff's Office,14.63414634,6,41
Collbran Marshal's Office,0,0,0
Colorado,9.657425296,"15,846","164,081"
Colorado Bureau Of Investigation,100,1,1
Colorado Bureau Of Investigation (Testing Ori),0,0,0
Colorado Department of Corrections - Colorado Springs,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Central City,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Cripple Creek,100,1,1
