agency,recovered_cars_perc,recovered_cars_total,recovered_total_stolen_cars,arrest_pct,arrest_total,arrest_total_car_thefts
22nd Jud Dist Multijurisdictional Drug Task Force,0,0,0,0,0,0
7th Judicial District Drug Task Force,0,0,0,0,0,0
Adams County Sheriff's Office,77.68447383,4348,5597,17.78911565,1046,5880
Adams State University Police Department,62.5,5,8,25,2,8
Aims Community College Police Department,100,1,1,100,1,1
Alamosa County Sheriff's Office,20,3,15,12.5,2,16
Alamosa Police Department,46.15384615,78,169,26.47058824,45,170
All Crimes Enforcement Team,0,0,0,0,0,0
Alma Police Department,0,0,0,0,0,0
Arapahoe Community College Campus Police Department,0,0,3,33.33333333,1,3
Arapahoe County Sheriff's Office,80.98765432,1968,2430,2.370003537,67,2827
Archuleta County Sheriff's Office,31.57894737,12,38,17.94871795,7,39
Arvada Police Department,83.90334572,2257,2690,3.194103194,104,3256
Aspen Police Department,51.28205128,20,39,22.5,9,40
Ault Police Department,0,0,1,100,1,1
Auraria Campus Police Department,37.20930233,16,43,12.96296296,7,54
Aurora Police Department,84.03380539,14716,17512,4.047242538,819,20236
Avon Police Department,68.08510638,32,47,16.66666667,8,48
Baca County Sheriff's Office,75,3,4,75,3,4
Basalt Police Department,20,1,5,20,1,5
Bayfield Marshal's Office,40,8,20,25,5,20
Bent County Sheriff's Office,40,24,60,10,6,60
Berthoud Police Department - Retired,0,0,0,0,0,0
Black Hawk Police Department,40.69767442,35,86,28.40909091,25,88
Blue River Police Department,0,0,0,0,0,0
Boulder County Sheriff's Office,75.63739377,267,353,14.69072165,57,388
Boulder Police Department,82.64938805,1148,1389,8.333333333,124,1488
Bow Mar Police Department,57.14285714,4,7,14.28571429,1,7
Breckenridge Police Department,38.0952381,16,42,23.80952381,10,42
Brighton Police Department,74.09326425,858,1158,7.86163522,100,1272
Broomfield Police Department,50.73848827,584,1151,8.610709117,119,1382
Brush Police Department,37.03703704,10,27,37.03703704,10,27
Buena Vista Police Department,6.666666667,1,15,33.33333333,5,15
Burlington Police Department,85.29411765,29,34,38.23529412,13,34
Calhan Police Department,50,2,4,25,1,4
Campo Police Department,0,0,0,0,0,0
Canon City Police Department,38.03278689,116,305,18.84984026,59,313
Carbondale Police Department,66.66666667,12,18,38.88888889,7,18
Castle Rock Police Department,79.11227154,303,383,12.25,49,400
Cedaredge Police Department,0,0,2,50,1,2
Centennial Police Department,83.08423913,1223,1472,2.23660977,38,1699
Center Police Department,58.82352941,10,17,29.41176471,5,17
Central City Police Department,0,0,0,0,0,0
Chaffee County Sheriff's Office,18.03278689,11,61,29.03225806,18,62
Cherry Hills Village Police Department,2.222222222,1,45,0,0,46
Cheyenne County Sheriff's Office,0,0,4,75,3,4
Clear Creek County Sheriff's Office,17.07317073,7,41,14.63414634,6,41
Collbran Marshal's Office,0,0,0,0,0,0
Colorado,70.57045687,104373,147899,9.657425296,15846,164081
Colorado Bureau Of Investigation,0,0,1,100,1,1
Colorado Bureau Of Investigation (Testing Ori),0,0,0,0,0,0
Colorado Department of Corrections - Colorado Springs,0,0,0,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Central City,0,0,0,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Cripple Creek,0,0,0,100,1,1
Colorado Division of Gaming Crim Enf Inv Section Golden,0,0,0,0,0,0
Colorado Mental Health Institute,0,0,0,0,0,0
Colorado Parks and Wildlife Law Enforcement,0,0,0,0,0,0
Colorado School of Mines Police Department,40,6,15,0,0,18
Colorado Springs Police Department,64.77022516,9119,14079,14.76106911,2187,14816
Colorado State University Police Department - Fort Collins,52.77777778,19,36,,,
Colorado State University-Pueblo,0,0,0,,,
Columbine Valley Police Department,57.14285714,4,7,,,
