agency,recovered_cars_perc,recovered_cars_total,recovered_total_stolen_cars
22nd Jud Dist Multijurisdictional Drug Task Force,0,0,0
7th Judicial District Drug Task Force,0,0,0
Adams County Sheriff's Office,77.68447383,"4,348","5,597"
Adams State University Police Department,62.5,5,8
Aims Community College Police Department,100,1,1
Alamosa County Sheriff's Office,20,3,15
Alamosa Police Department,46.15384615,78,169
All Crimes Enforcement Team,0,0,0
Alma Police Department,0,0,0
Arapahoe Community College Campus Police Department,0,0,3
Arapahoe County Sheriff's Office,80.98765432,"1,968","2,430"
Archuleta County Sheriff's Office,31.57894737,12,38
Arvada Police Department,83.90334572,"2,257","2,690"
Aspen Police Department,51.28205128,20,39
Ault Police Department,0,0,1
Auraria Campus Police Department,37.20930233,16,43
Aurora Police Department,84.03380539,"14,716","17,512"
Avon Police Department,68.08510638,32,47
Baca County Sheriff's Office,75,3,4
Basalt Police Department,20,1,5
Bayfield Marshal's Office,40,8,20
Bent County Sheriff's Office,40,24,60
Berthoud Police Department - Retired,0,0,0
Black Hawk Police Department,40.69767442,35,86
Blue River Police Department,0,0,0
Boulder County Sheriff's Office,75.63739377,267,353
Boulder Police Department,82.64938805,"1,148","1,389"
Bow Mar Police Department,57.14285714,4,7
Breckenridge Police Department,38.0952381,16,42
Brighton Police Department,74.09326425,858,"1,158"
Broomfield Police Department,50.73848827,584,"1,151"
Brush Police Department,37.03703704,10,27
Buena Vista Police Department,6.666666667,1,15
Burlington Police Department,85.29411765,29,34
Calhan Police Department,50,2,4
Campo Police Department,0,0,0
Canon City Police Department,38.03278689,116,305
Carbondale Police Department,66.66666667,12,18
Castle Rock Police Department,79.11227154,303,383
Cedaredge Police Department,0,0,2
Centennial Police Department,83.08423913,"1,223","1,472"
Center Police Department,58.82352941,10,17
Central City Police Department,0,0,0
Chaffee County Sheriff's Office,18.03278689,11,61
Cherry Hills Village Police Department,2.222222222,1,45
Cheyenne County Sheriff's Office,0,0,4
Clear Creek County Sheriff's Office,17.07317073,7,41
Collbran Marshal's Office,0,0,0
Colorado,70.57045687,"104,373","147,899"
Colorado Bureau Of Investigation,0,0,1
Colorado Bureau Of Investigation (Testing Ori),0,0,0
Colorado Department of Corrections - Colorado Springs,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Central City,0,0,0
Colorado Division of Gaming Crim Enf Inv Section Cripple Creek,0,0,0
